Date,Close/Last,Volume,Open,High,Low
05/10/2021,108.55,1226234,108.732,108.755,108.55
05/07/2021,108.71,1107036,108.81,108.8599,108.67
05/06/2021,108.70,1274742,108.66,108.70,108.65
05/05/2021,108.70,882211,108.68,108.70,108.65
05/04/2021,108.67,965098,108.778,108.79,108.65
05/03/2021,108.69,1130707,108.65,108.75,108.62
04/30/2021,108.86,1786055,108.79,108.88,108.73
04/29/2021,108.70,1023297,108.6041,108.70,108.5826
04/28/2021,108.73,918262,108.69,108.73,108.53
04/27/2021,108.68,3779044,108.68,108.71,108.641
04/26/2021,108.71,1541143,108.70,108.75,108.69
04/23/2021,108.70,717278,108.79,108.79,108.69
04/22/2021,108.81,811864,108.81,108.85,108.78
04/21/2021,108.85,1182488,108.75,108.85,108.73
04/20/2021,108.76,1489459,108.61,108.76,108.61
04/19/2021,108.61,1383494,108.57,108.64,108.56
04/16/2021,108.59,1148592,108.61,108.69,108.59
04/15/2021,108.74,1461231,108.60,108.79,108.60
04/14/2021,108.58,939113,108.63,108.6384,108.55
04/13/2021,108.60,1504467,108.43,108.60,108.42
04/12/2021,108.40,1298470,108.41,108.42,108.34
04/09/2021,108.38,1134064,108.28,108.43,108.26
04/08/2021,108.38,1352024,108.35,108.40,108.31
04/07/2021,108.36,1335306,108.364,108.42,108.35
04/06/2021,108.38,2401392,108.35,108.39,108.32
04/05/2021,108.20,2075752,108.26,108.29,108.16
04/01/2021,108.19,3096018,108.20,108.26,108.10
03/31/2021,108.42,3137049,108.31,108.42,108.31
03/30/2021,108.32,1937142,108.22,108.36,108.19
03/29/2021,108.33,1302422,108.34,108.37,108.305
03/26/2021,108.38,1198735,108.42,108.46,108.38
03/25/2021,108.54,5041181,108.60,108.60,108.49
03/24/2021,108.55,7489767,108.53,108.5898,108.49
03/23/2021,108.56,5790712,108.53,108.58,108.45
03/22/2021,108.51,981611,108.42,108.52,108.38
03/19/2021,108.41,950050,108.398,108.495,108.37
03/18/2021,108.44,1102038,108.46,108.51,108.41
03/17/2021,108.67,1598714,108.51,108.7999,108.50
03/16/2021,108.71,1217612,108.65,108.7901,108.65
03/15/2021,108.71,1174871,108.72,108.79,108.66
03/12/2021,108.72,1113323,108.82,108.82,108.72
03/11/2021,108.98,1611036,108.922,109.00,108.905
03/10/2021,108.92,972685,108.91,108.97,108.90
03/09/2021,108.93,1374036,108.95,109.0157,108.89
03/08/2021,108.85,1306057,108.93,108.93,108.83
03/05/2021,109.03,1603703,108.91,109.03,108.87
03/04/2021,109.03,1144663,109.24,109.30,109.005
03/03/2021,109.28,1302213,109.28,109.34,109.19
03/02/2021,109.28,1300974,109.10,109.30,109.085
03/01/2021,109.23,2666731,109.28,109.31,109.0916
02/26/2021,109.15,2702720,109.00,109.32,108.83
02/25/2021,108.91,2503342,109.27,109.3181,108.66
02/24/2021,109.54,1245554,109.42,109.60,109.38
02/23/2021,109.51,1443822,109.43,109.52,109.40
02/22/2021,109.61,2404749,109.75,109.75,109.58
02/19/2021,109.74,810843,109.77,109.82,109.71
02/18/2021,109.84,1129830,109.81,109.8699,109.7811
02/17/2021,109.81,1425474,109.74,109.84,109.71
02/16/2021,109.76,2523651,109.86,109.90,109.73
02/12/2021,110.00,1576431,110.06,110.08,110.00
02/11/2021,110.15,1574093,110.08,110.18,110.08
02/10/2021,110.18,1073814,110.21,110.23,110.15
02/09/2021,110.23,1593567,110.20,110.24,110.12
02/08/2021,110.16,2349853,110.1661,110.20,110.1311
02/05/2021,110.18,1016451,110.23,110.26,110.15
02/04/2021,110.17,1280623,110.12,110.21,110.09
02/03/2021,110.15,1227623,110.18,110.20,110.15
02/02/2021,110.18,838596,110.19,110.22,110.15
02/01/2021,110.13,1232843,110.08,110.15,110.03
01/29/2021,110.29,1862299,110.15,110.315,110.13
01/28/2021,110.22,1005118,110.17,110.22,110.14
01/27/2021,110.19,1562743,110.19,110.27,110.1829
01/26/2021,110.17,1993285,110.13,110.20,110.12
01/25/2021,110.20,1118603,110.18,110.24,110.14
01/22/2021,110.19,849569,110.17,110.20,110.13
01/21/2021,110.19,1381559,110.216,110.24,110.16
01/20/2021,110.19,1837752,110.138,110.21,110.09
01/19/2021,110.16,2814189,110.21,110.23,110.14
01/15/2021,110.17,2835628,110.11,110.17,110.11
01/14/2021,110.09,5785858,110.14,110.17,110.08
01/13/2021,110.11,1339652,110.07,110.13,110.05
01/12/2021,110.06,10536040,109.92,110.12,109.92
01/11/2021,109.99,1682845,110.06,110.06,109.985
01/08/2021,110.09,1580743,110.14,110.15,110.09
01/07/2021,110.12,1624327,110.18,110.18,110.10
01/06/2021,110.15,2082050,110.15,110.20,110.09
01/05/2021,110.20,1164067,110.25,110.25,110.15
